id,zona,turno,dias,orden,punto_salida,punto_llegada,hora_salida,hora_llegada,campaneo,observaciones
160,REPECHAJE,MAÑANA,"MARTES,JUEVES,SABADO",21,"URB. SAN BORJA BAJA - AV. JR. ANTA","RESERVORIO LA FLORIDA, PARQ. QUILLABAMBA",09:30,09:50,0,"REPECHAJE - SIN CAMPANEO"
161,REPECHAJE,MAÑANA,"MARTES,JUEVES,SABADO",22,"RESERVORIO LA FLORIDA, PARQ. QUILLABAMBA","PARQUE SICUANI, COYA, PARURO Y ACOMAYO",09:50,10:00,0,"REPECHAJE - SIN CAMPANEO"
162,REPECHAJE,MAÑANA,"MARTES,JUEVES,SABADO",23,"PARQUE SICUANI, COYA, PARURO Y ACOMAYO","AV. TUPAC AMARU (PARTE ALTA)",10:00,10:10,0,"REPECHAJE - SIN CAMPANEO"
163,REPECHAJE,MAÑANA,"MARTES,JUEVES,SABADO",24,"AV. TUPAC AMARU (PARTE ALTA)","URB. MATEO PUMACAHUA",10:10,10:20,0,"REPECHAJE - SIN CAMPANEO"
164,TURNO TARDE,TARDE,"LUNES,MIERCOLES,VIERNES",1,"SUPERMERCADOS ORION, SUPER SOL PLAZA T. AMARU","REGION CUSCO",12:20,13:00,0,"SIN CAMPANEO"
165,TURNO TARDE,TARDE,"LUNES,MIERCOLES,VIERNES",2,"REGION CUSCO","SUPER MERCADO SUPER SOL (AV. JORGE CHAVEZ)",13:00,14:00,0,"SIN CAMPANEO"
166,TURNO TARDE,TARDE,"LUNES,MIERCOLES,VIERNES",3,"SUPER MERCADO SUPER SOL (AV. JORGE CHAVEZ)","MERCADO TTIO",14:00,15:00,0,"SIN CAMPANEO (fin de ruta sin campaneo)"
167,TURNO TARDE,TARDE,"LUNES,MIERCOLES,VIERNES",4,"MERCADO TTIO","CALLE CONSTANZA (CANASTA)",15:00,15:30,1,"CAMPANEO"
168,TURNO TARDE,TARDE,"LUNES,MIERCOLES,VIERNES",5,"CALLE CONSTANZA (CANASTA)","AV. LOS INCAS",15:30,15:40,1,"CAMPANEO"
169,TURNO TARDE,TARDE,"LUNES,MIERCOLES,VIERNES",6,"AV. LOS INCAS","ESSALUD",15:40,16:00,0,"SIN CAMPANEO (transicion)"
170,TURNO TARDE,TARDE,"LUNES,MIERCOLES,VIERNES",7,"ESSALUD","AV. MICAELA BASTIDAS",16:00,16:10,0,"SIN CAMPANEO"
171,TURNO TARDE,TARDE,"LUNES,MIERCOLES,VIERNES",8,"AV. MICAELA BASTIDAS","CCHH. PACHACUTEQ, PLAZA TUPAC AMARU",16:10,16:30,0,"SIN CAMPANEO"
172,TURNO TARDE,TARDE,"LUNES,MIERCOLES,VIERNES",9,"CCHH. PACHACUTEQ, PLAZA TUPAC AMARU","MERCADO DE WANCHAQ",16:30,16:45,0,"SIN CAMPANEO (fin de ruta)"
173,TURNO TARDE,TARDE,"MARTES,JUEVES,SABADO",1,"PERU RAIL (JUEVES) ES SALUD","SUPERMERCADOS ORION (MARCAVALLE)",12:20,13:00,0,"SIN CAMPANEO (solo jueves)"
174,TURNO TARDE,TARDE,"MARTES,JUEVES,SABADO",2,"SUPERMERCADOS ORION (MARCAVALLE)","C. REFORMATORIO DE MENORES (MARCAVALLE)",13:00,14:00,0,"SIN CAMPANEO"
175,TURNO TARDE,TARDE,"MARTES,JUEVES,SABADO",3,"C. REFORMATORIO DE MENORES (MARCAVALLE)","MERCADO TTIO",14:00,14:45,0,"SIN CAMPANEO"
176,TURNO TARDE,TARDE,"MARTES,JUEVES,SABADO",4,"MERCADO TTIO","AV. MICAELA BASTIDAS",14:45,15:30,0,"SIN CAMPANEO"
177,TURNO TARDE,TARDE,"MARTES,JUEVES,SABADO",5,"AV. MICAELA BASTIDAS","CCHH. PACHACUTEQ, PLAZA TUPAC AMARU",15:30,16:00,0,"SIN CAMPANEO"
178,TURNO TARDE,TARDE,"MARTES,JUEVES,SABADO",6,"CCHH. PACHACUTEQ, PLAZA TUPAC AMARU","MERCADO WANCHAQ",16:00,16:30,0,"SIN CAMPANEO"
179,FURGON,MAÑANA,"LUNES,MIERCOLES,VIERNES",1,"RECOJO DE TIERRAS","URB. KENNEDY A, URB. ENTEL, URB. BEATRIZ",04:00,06:00,0,"FURGON - SIN CAMPANEO (recojo de tierras)"
180,FURGON,MAÑANA,"LUNES,MIERCOLES,VIERNES",2,"URB. KENNEDY A, URB. ENTEL, URB. BEATRIZ","JR. LIBERTAD, AV. JUSTICIA (PARTE BAJA)",06:00,06:30,0,"FURGON - SIN CAMPANEO"
181,FURGON,MAÑANA,"LUNES,MIERCOLES,VIERNES",3,"JR. LIBERTAD, AV. JUSTICIA (PARTE BAJA)","AV. 28 DE JULIO (BAJADA Y SUBIDA)",06:30,06:45,0,"FURGON - SIN CAMPANEO"
182,FURGON,MAÑANA,"LUNES,MIERCOLES,VIERNES",4,"AV. 28 DE JULIO (BAJADA Y SUBIDA)","AV. PRINCIPALES Y RECOJO DE TACHOS DE BARRIDO",06:45,07:00,0,"FURGON - SIN CAMPANEO"
183,FURGON,MAÑANA,"LUNES,MIERCOLES,VIERNES",5,"AV. PRINCIPALES Y RECOJO DE TACHOS DE BARRIDO","CALLE UNION",07:00,07:20,0,"FURGON - SIN CAMPANEO"
184,FURGON,MAÑANA,"LUNES,MIERCOLES,VIERNES",6,"CALLE UNION","AV. COSTANERA, AV. DANIEL PAIVA",07:20,07:30,0,"FURGON - SIN CAMPANEO"
185,FURGON,MAÑANA,"LUNES,MIERCOLES,VIERNES",7,"AV. COSTANERA, AV. DANIEL PAIVA","URB. SIMON HERRERA",07:30,07:40,0,"FURGON - SIN CAMPANEO"
186,FURGON,MAÑANA,"LUNES,MIERCOLES,VIERNES",8,"URB. SIMON HERRERA","AV. VELASCO ASTETE, CCHH. HILARIO MENDIVIL",07:40,07:55,0,"FURGON - SIN CAMPANEO"
187,FURGON,MAÑANA,"LUNES,MIERCOLES,VIERNES",9,"AV. VELASCO ASTETE, CCHH. HILARIO MENDIVIL","AV. JORGE CHAVEZ",07:55,08:10,0,"FURGON - SIN CAMPANEO"
188,FURGON,MAÑANA,"LUNES,MIERCOLES,VIERNES",10,"AV. JORGE CHAVEZ","AV. LIBERTAD, AV. PERU, AV. QOSQO",08:10,08:20,0,"FURGON - SIN CAMPANEO"
189,FURGON,MAÑANA,"LUNES,MIERCOLES,VIERNES",11,"AV. LIBERTAD, AV. PERU, AV. QOSQO","AV. TUPAC AMARU, URB. TTIO LA FLORIDA",08:20,09:00,0,"FURGON - SIN CAMPANEO"
190,FURGON,MAÑANA,"MARTES,JUEVES,SABADO",1,"RECOJO DE TIERRAS","AV. PRINCIPALES Y RECOJO DE TACHOS DE BARRIDO",04:00,06:30,0,"FURGON - SIN CAMPANEO (recojo de tierras)"
191,FURGON,MAÑANA,"MARTES,JUEVES,SABADO",2,"AV. PRINCIPALES Y RECOJO DE TACHOS DE BARRIDO","ALAMEDA PACHACUTEQ",06:30,06:50,0,"FURGON - SIN CAMPANEO"
192,FURGON,MAÑANA,"MARTES,JUEVES,SABADO",3,"ALAMEDA PACHACUTEQ","AV. TULLUMAYO",06:50,07:00,0,"FURGON - SIN CAMPANEO"
193,FURGON,MAÑANA,"MARTES,JUEVES,SABADO",4,"AV. TULLUMAYO","AV. LA CULTURA PARTE ALTA",07:00,07:20,0,"FURGON - SIN CAMPANEO (hora 02:24 corregida a 07:20 por error de Excel)"
194,FURGON,MAÑANA,"MARTES,JUEVES,SABADO",5,"AV. LA CULTURA PARTE ALTA","AV. LOS INCAS, AV. MICAELA BASTIDAS",07:20,07:40,0,"FURGON - SIN CAMPANEO"
195,FURGON,MAÑANA,"MARTES,JUEVES,SABADO",6,"AV. LOS INCAS, AV. MICAELA BASTIDAS","PLAZA TUPAC AMARU",07:40,07:50,0,"FURGON - SIN CAMPANEO"
196,FURGON,MAÑANA,"MARTES,JUEVES,SABADO",7,"PLAZA TUPAC AMARU","AV. GARCILASO, AV. HUASCAR",07:50,08:10,0,"FURGON - SIN CAMPANEO"
197,FURGON,MAÑANA,"MARTES,JUEVES,SABADO",8,"AV. GARCILASO, AV. HUASCAR","AV. PACHACUTEQ, AV. MANCO CAPAC",08:10,08:20,0,"FURGON - SIN CAMPANEO"
198,FURGON,MAÑANA,"MARTES,JUEVES,SABADO",9,"AV. PACHACUTEQ, AV. MANCO CAPAC","AV. TOMASA TTITO CONDEMAYTA",08:20,08:30,0,"FURGON - SIN CAMPANEO"
199,FURGON,MAÑANA,"MARTES,JUEVES,SABADO",10,"AV. TOMASA TTITO CONDEMAYTA","AV. HUAYRUROPATA",08:30,08:40,0,"FURGON - SIN CAMPANEO"
200,FURGON,MAÑANA,"MARTES,JUEVES,SABADO",11,"AV. HUAYRUROPATA","URB. CUATRO TORRES",08:40,08:50,0,"FURGON - SIN CAMPANEO"
201,FURGON,MAÑANA,"MARTES,JUEVES,SABADO",12,"URB. CUATRO TORRES","AV. INFANCIA",08:50,09:00,0,"FURGON - SIN CAMPANEO"
202,FURGON,MAÑANA,"MARTES,JUEVES,SABADO",13,"AV. INFANCIA","URB. SAN BORJA (JR. IQUITOS, JR. ANCASH)",09:00,09:20,0,"FURGON - SIN CAMPANEO"
203,FURGON,MAÑANA,"MARTES,JUEVES,SABADO",14,"URB. SAN BORJA (JR. IQUITOS, JR. ANCASH)","JR. ANTA, AV. TUPAC AMARU",09:20,09:30,0,"FURGON - SIN CAMPANEO"
204,FURGON,MAÑANA,"MARTES,JUEVES,SABADO",15,"JR. ANTA, AV. TUPAC AMARU","RESERVORIO DE FLORIDA, PARQUE QUILLABAMBA",09:30,09:45,0,"FURGON - SIN CAMPANEO (fin de ruta)"
205,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 01,1,"AV. INFANCIA - AV. LA PAZ","",,,0,"SIN HORA ASIGNADA"
206,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 01,2,"AV. CONFRATERNIDAD - CALLE PRIMAVERA","",,,0,"SIN HORA ASIGNADA"
207,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 01,3,"AV. PACHACUTEC","",,,0,"SIN HORA ASIGNADA"
208,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 01,4,"AV. MANCO CAPAC","",,,0,"SIN HORA ASIGNADA"
209,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 01,5,"AV. GARCILASO - AV. HUASCAR","",,,0,"SIN HORA ASIGNADA"
210,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 01,6,"AV. TULLUMAYO - ARCOPUNCO","",,,0,"SIN HORA ASIGNADA"
211,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 01,7,"AV. CULTURA (HASTA DIAGONAL)","",,,0,"SIN HORA ASIGNADA"
212,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 01,8,"AV. HUAYNA CAPAC - AV. TACNA","",,,0,"SIN HORA ASIGNADA"
213,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 01,9,"PLAZA TUPAC AMARU - CCHH. PACHACUTEC","",,,0,"SIN HORA ASIGNADA"
214,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 01,10,"AV. LOS INCAS - AV. MICAELA BASTIDAS","",,,0,"SIN HORA ASIGNADA"
215,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 01,11,"AV. TOMASA TTITO CONDEMAYTA","",,,0,"SIN HORA ASIGNADA"
216,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 01,12,"AV. HUAYRUROPATA","",,,0,"SIN HORA ASIGNADA"
217,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 01,13,"JR. ANCASH - JR. IQUITOS","",,,0,"SIN HORA ASIGNADA"
218,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 02,1,"AV. 28 DE JULIO (BAJADA Y SUBIDA)","",,,0,"SIN HORA ASIGNADA"
219,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 02,2,"CALLE UNION","",,,0,"SIN HORA ASIGNADA"
220,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 02,3,"AV. COSTANERA","",,,0,"SIN HORA ASIGNADA"
221,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 02,4,"AV. DANIEL PAIVA, URB. SIMON HERRERA","",,,0,"SIN HORA ASIGNADA"
222,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 02,5,"AV. VELASCO ASTETE","",,,0,"SIN HORA ASIGNADA"
223,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 02,6,"SR. DE LOS MILAGROS","",,,0,"SIN HORA ASIGNADA"
224,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 02,7,"CCHH. HILARIO MENDIVIL","",,,0,"SIN HORA ASIGNADA"
225,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 02,8,"PARED DEL AEROPUERTO","",,,0,"SIN HORA ASIGNADA"
226,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 02,9,"URB. KENNEDY B","",,,0,"SIN HORA ASIGNADA"
227,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 02,10,"AV. JORGE CHAVEZ","",,,0,"SIN HORA ASIGNADA"
228,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 02,11,"AV. QOSQO, AV. JR. LIBERTAD","",,,0,"SIN HORA ASIGNADA"
229,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 02,12,"AV. PERU","",,,0,"SIN HORA ASIGNADA"
230,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 03,1,"URB. CUATRO TORRES - URB. FIDERANDA","",,,0,"SIN HORA ASIGNADA"
231,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 03,2,"URB. MATEO PUMACAHUA, AV. TUPAC AMARU HASTA CALCA","",,,0,"SIN HORA ASIGNADA"
232,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 03,3,"JR. CALCA","",,,0,"SIN HORA ASIGNADA"
233,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 03,4,"URB. SAN BORJA - JR. ANTA","",,,0,"SIN HORA ASIGNADA"
234,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 03,5,"AV. TUPAC AMARU, JR. ESPINAR","",,,0,"SIN HORA ASIGNADA"
235,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 03,6,"CANCHA SAN FRANCISCO","",,,0,"SIN HORA ASIGNADA"
236,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 03,7,"PARQUE SICUANI","",,,0,"SIN HORA ASIGNADA"
237,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 03,8,"RESERVORIO DE FLORIDA - PARQUE QUILLABAMBA","",,,0,"SIN HORA ASIGNADA"
238,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 03,9,"URB. ENTEL PERU","",,,0,"SIN HORA ASIGNADA"
239,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 03,10,"AV. REPUBLICA DE BRASIL","",,,0,"SIN HORA ASIGNADA"
240,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 03,11,"AV. REPUBLICA DE BOLIVIA, AV. REPUBLICA DE URUGUAY","",,,0,"SIN HORA ASIGNADA"
241,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 03,12,"URB. MARCAVALLE Y LOCAL DE MARCAVALLE","",,,0,"SIN HORA ASIGNADA"
242,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 03,13,"URB. SANTA ROSA","",,,0,"SIN HORA ASIGNADA"
243,TURNO DOMINICAL,DOMINGO,MAÑANA,ZONA 03,14,"URB. SAUCES Y SANTA URSULA","",,,0,"SIN HORA ASIGNADA"
244,TURNO NOCHE,NOCHE,"DOMINGO Y LUNES",ZONA 02,1,"CALLE UNION, MOLINO (CAMPANEO)","AV. COSTANERA",,,1,"SIN HORA ASIGNADA (campaneo activo)"
245,TURNO NOCHE,NOCHE,"DOMINGO Y LUNES",ZONA 02,2,"AV. COSTANERA","AV. JORGE CHAVEZ",,,1,"SIN HORA ASIGNADA"
246,TURNO NOCHE,NOCHE,"DOMINGO Y LUNES",ZONA 02,3,"AV. JORGE CHAVEZ","AV. VELASCO ASTETE (BAJADA Y SUBIDA)",,,1,"SIN HORA ASIGNADA"
247,TURNO NOCHE,NOCHE,"DOMINGO Y LUNES",ZONA 02,4,"AV. VELASCO ASTETE (BAJADA Y SUBIDA)","AV. QOSQO",,,1,"SIN HORA ASIGNADA"
248,TURNO NOCHE,NOCHE,"DOMINGO Y LUNES",ZONA 02,5,"AV. QOSQO","AV. DIAGONAL ANGAMOS",,,1,"SIN HORA ASIGNADA"
249,TURNO NOCHE,NOCHE,"DOMINGO Y LUNES",ZONA 02,6,"AV. DIAGONAL ANGAMOS","AV. LA CULTURA",,,1,"SIN HORA ASIGNADA"
250,TURNO NOCHE,NOCHE,"DOMINGO Y LUNES",ZONA 02,7,"AV. LA CULTURA","URB. SANTA ROSA",,,1,"SIN HORA ASIGNADA"
251,TURNO NOCHE,NOCHE,"DOMINGO Y LUNES",ZONA 02,8,"URB. SANTA ROSA","URB. MARCAVALLE",,,1,"SIN HORA ASIGNADA"
252,TURNO NOCHE,NOCHE,"DOMINGO Y LUNES",ZONA 02,9,"URB. MARCAVALLE","AV. TUPAC AMARU (RESERVORIO DE FLORIDA)",,,1,"SIN HORA ASIGNADA"
253,TURNO NOCHE,NOCHE,"DOMINGO Y LUNES",ZONA 02,10,"AV. TUPAC AMARU (RESERVORIO DE FLORIDA)","AV. JR. ANTA - JR. ANCASH",,,1,"SIN HORA ASIGNADA"
254,TURNO NOCHE,NOCHE,"DOMINGO Y LUNES",ZONA 02,11,"AV. JR. ANTA - JR. ANCASH","FIDERANDA",,,1,"SIN HORA ASIGNADA"
255,TURNO NOCHE,NOCHE,"DOMINGO Y LUNES",ZONA 02,12,"FIDERANDA","AV. INFANCIA",,,1,"SIN HORA ASIGNADA"
256,TURNO NOCHE,NOCHE,"DOMINGO Y LUNES",ZONA 02,13,"AV. INFANCIA","CONFRATERNIDAD",,,1,"SIN HORA ASIGNADA"
257,TURNO NOCHE,NOCHE,"LUNES A DOMINGO",ZONA 01,1,"PLAZA TUPAC AMARU, CCHH. PACHACUTEQ","AV. CULTURA",20:00,20:30,0,"REPECHAJE (sin campaneo)"
258,TURNO NOCHE,NOCHE,"LUNES A DOMINGO",ZONA 01,2,"AV. CULTURA","AV. HUAYRUROPATA",20:30,21:00,0,"REPECHAJE (sin campaneo)"
259,TURNO NOCHE,NOCHE,"LUNES A DOMINGO",ZONA 01,3,"AV. HUAYRUROPATA","AV. MANCOCAPAC",21:00,21:30,0,"REPECHAJE (sin campaneo)"
260,TURNO NOCHE,NOCHE,"LUNES A DOMINGO",ZONA 01,4,"AV. MANCOCAPAC","AV. PACHACUTEQ",21:30,22:00,0,"REPECHAJE (sin campaneo)"
261,TURNO NOCHE,NOCHE,"LUNES A DOMINGO",ZONA 01,5,"AV. PACHACUTEQ","AV. CONSTANZA - AV. LOS INCAS",22:00,22:30,0,"REPECHAJE (sin campaneo)"
262,TURNO NOCHE,NOCHE,"LUNES A DOMINGO",ZONA 01,6,"AV. CONSTANZA - AV. LOS INCAS","AV. MICAELA BASTIDAS",22:30,23:00,0,"REPECHAJE (sin campaneo)"
263,TURNO NOCHE,NOCHE,"LUNES A DOMINGO",ZONA 01,7,"AV. MICAELA BASTIDAS","AV. GARCILASO, AV. TULLUMAYO",23:00,23:30,0,"REPECHAJE (sin campaneo)"
264,TURNO NOCHE,NOCHE,"LUNES A DOMINGO",ZONA 01,8,"AV. GARCILASO, AV. TULLUMAYO","AV. HUASCAR, MERCADO DE WANCHAQ",23:30,00:05,0,"REPECHAJE (sin campaneo)"
265,TURNO NOCHE,NOCHE,"LUNES A DOMINGO",ZONA 01,9,"AV. HUASCAR, MERCADO DE WANCHAQ","AV. HUAYNA CAPAC, AV. TACNA",00:05,00:20,0,"REPECHAJE (sin campaneo)"
266,TURNO NOCHE,NOCHE,"LUNES A DOMINGO",ZONA 01,10,"AV. HUAYNA CAPAC, AV. TACNA","",00:20,00:30,0,"REPECHAJE - FIN DE RUTA (repechajear todas las avenidas)"
